firm_name,website,portfolio_url_suffix
Rotunda Capital Partners,https://rotundacapital.com,/portfolio
ICV Partners,https://icvpartners.com,/portfolio
Pfingsten Partners,https://pfingsten.com,/portfolio
Arsenal Capital Partners,https://arsenalcapital.com,/portfolio
TSG Consumer Partners,https://tsgconsumer.com,/portfolio
CCMP Capital,https://ccmp.com,/portfolio
GenNx360 Capital Partners,https://gennx360.com,/portfolio
Kingswood Capital Management,https://kingswoodcapital.com,/portfolio
Merit Capital Partners,https://meritcapital.com,/portfolio
Charger Investment Partners,https://chargerinvestment.com,/portfolio
Warren Equity Partners,https://warrenequitypartners.com,/portfolio
Arcline Investment Management,https://arcline.com,/portfolio
MiddleGround Capital,https://middlegroundcapital.com,/portfolio
Pamlico Capital,https://pamlicocapital.com,/portfolio
Bernhard Capital Partners,https://bernhardcapital.com,/portfolio
